Value
260.065
260.065
260.065
260.065
261.582
261.582
261.582
263.014
263.014
263.014
263.014
264.877
264.877
264.877
264.877
267.054
267.054
267.054
269.195
269.195
269.195
269.195
271.696
271.696
271.696
271.696
273.003
273.003
273.003
273.567
273.567
273.567
273.567
274.31
274.31
274.31
274.31
276.589
276.589
276.589
277.948
277.948
277.948
277.948
278.802
278.802
278.802
278.802
266.236
266.236
266.236
275.703
275.703
275.703
275.703
281.148
281.148
281.148
281.148
283.716
283.716
283.716
287.504
287.504
287.504
287.504
289.109
289.109
289.109
289.109
