Value
217.535
217.535
217.535
217.535
217.535
218.576
218.576
218.576
220.223
220.223
220.223
220.223
221.309
221.309
221.309
221.309
223.467
223.467
223.467
224.906
224.906
224.906
224.906
225.964
225.964
225.964
225.964
225.722
225.722
225.722
225.922
225.922
225.922
225.922
226.545
226.545
226.545
226.545
226.889
226.889
226.889
226.421
226.421
226.421
226.421
226.23
226.23
226.23
226.23
225.672
225.672
225.672
223.598
