Value
82.7
82.7
82.7
82.7
81.8
81.8
81.8
81.8
81.8
81
81
81
81
80.1
80.1
80.1
80.1
80.1
78.9
78.9
77.8
77.8
77.8
77.8
77.8
76.7
76.7
76.7
76.7
75.9
75.9
75.9
75.9
75.2
75.2
75.2
75.2
74.6
74.6
74.6
74.6
74.6
73.8
73.8
73.8
73.8
73.1
73.1
73.1
73.1
73.1
72.3
72.3
72.3
72.3
71.5
71.5
71.5
71.5
71.5
70.6
70.6
70.6
70.6
69.8
69.8
69.8
69.8
69.8
69.1
69.1
69.1
69.1
68.3
68.3
68.3
68.3
68.3
