Date,Adj Close,Invested,Log returns
1/1/2021,372.954529,100000.0,
1/8/2021,372.32489,99831.17539779226,-0.0016896727153585449
1/15/2021,378.011169,101355.83284470584,0.015156909471036414
1/22/2021,371.508331,99612.2320852685,-0.017352453592916147
1/29/2021,379.929565,101870.21083205561,0.022414591067666835
2/5/2021,384.376312,103062.51355376354,0.011636171611426445
2/12/2021,384.386169,103065.15650330123,2.564381130496386e-05
2/19/2021,376.132111,100852.00252387872,-0.021707254979280804
2/26/2021,370.593414,99366.91612075851,-0.014834898208831467
3/5/2021,387.150574,103806.37420815448,0.04370815494962249
3/12/2021,385.13382,103265.6235688185,-0.005222839151205433
3/19/2021,383.38269,102796.09448046146,-0.004557177387384094
3/26/2021,395.406616,106020.06015591246,0.030880962096878208
4/2/2021,403.213898,108113.4204432734,0.019552542389745745
4/9/2021,410.468445,110058.57633652708,0.017831870857585863
4/16/2021,406.915161,109105.8371354434,-0.00869434218422418
4/23/2021,414.604004,111167.44046832583,0.018719143373750427
4/30/2021,413.626892,110905.448208138,-0.002359517033338461
5/7/2021,404.95105,108579.20162165399,-0.021198144818570772
5/14/2021,409.886108,109902.4347818015,0.012113140138655847
5/21/2021,413.844025,110963.66790601434,0.009609815886019564
5/28/2021,413.33075,110826.0438901923,-0.0012410317175764166
6/4/2021,418.10791,112106.93998570534,0.011491437191036227
6/11/2021,416.489197,111672.91576180322,-0.003879033406995191
6/18/2021,419.578552,112501.26205063458,0.007390236172275056
6/25/2021,426.229218,114284.49981364884,0.015726512116164427
7/2/2021,426.714417,114414.59583401383,0.001137704843382016
7/9/2021,430.50705,115431.511491311,0.00884872321301104
7/16/2021,431.210144,115620.03152400379,0.001631844324144591
7/23/2021,436.349457,116998.03141417268,0.011847884830197929
7/30/2021,437.448669,117292.76224984515,0.002515941719542838
8/6/2021,440.76593,118182.21679243902,0.007554592648812133
8/13/2021,435.567169,116788.27715750835,-0.01186494494978132
8/20/2021,441.904755,118487.56903016451,0.014445353818591616
8/27/2021,448.76709,120327.56143309898,0.015409650210964554
9/3/2021,444.598206,119209.76189566529,-0.009333056208551781
9/10/2021,442.805847,118729.17810846587,-0.004039561079888013
9/17/2021,438.854767,117669.77818360263,-0.008962873893731982
9/24/2021,426.313232,114307.02642037092,-0.028994168996866066
10/1/2021,435.770508,116842.79828118134,0.02194138451222473
10/8/2021,439.585205,117865.62994117706,0.008715819391132928
10/15/2021,450.602173,120819.6007722968,0.02475328407835206
10/22/2021,455.300995,122079.4921624346,0.010373877265170804
10/29/2021,463.834442,124367.55849129261,0.018568954810723095
11/5/2021,460.715088,123531.16859454998,-0.006747860952961566
11/12/2021,466.635864,125118.70153479214,0.012769397474089382
11/19/2021,466.347748,125041.44922181648,-0.0006176228723697677
11/26/2021,454.387054,121834.43789202512,-0.025982219485928465
12/3/2021,463.278107,124218.38883206049,0.019378160143151763
12/10/2021,463.377441,124245.02317814721,0.00021439250128022665
12/17/2021,467.500122,125350.434342091,0.008857680362658986
12/24/2021,474.685333,127276.99922904001,0.01525251797977337
12/31/2021,466.490784,125079.80135026053,-0.017413863205803817
1/7/2022,463.091339,124168.31087738308,-0.0073139533775680304
1/14/2022,445.366425,119415.74384259584,-0.039026940785139574
1/21/2022,429.904449,115269.93656644932,-0.035334397935497065
1/28/2022,445.216888,119375.64860621383,0.03499857982792083
2/4/2022,447.928467,120102.70211787664,0.00607199559611415
2/11/2022,435.706421,116825.61468505449,-0.02766487757177092
2/18/2022,426.973541,114484.07454518399,-0.020246623781775133
2/25/2022,434.360596,116464.75970264991,0.01715300904394393
3/4/2022,424.162292,113730.29659602277,-0.023758909334081396
3/11/2022,439.70401,117897.48503094321,0.03598564985223406
3/18/2022,449.094818,120415.4348799984,0.021132245394675588
3/25/2022,451.640015,121097.87651888249,0.0056513941303133215
4/1/2022,448.769989,120328.33873965364,-0.006374952981577308
4/8/2022,437.790009,117384.28547143338,-0.024771118637471008
4/15/2022,438.059998,117456.67740637621,0.0006165188248992164
4/22/2022,427.809998,114708.35309255616,-0.023676715621263056
4/29/2022,412.0,110469.230955498,-0.03765581775967539
