Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,29.709999,33.950001,29.059999,33.139999,29.599016,2204400
2021-01-08,33.160000,33.990002,31.410000,31.480000,28.116385,2691700
2021-01-15,31.000000,31.150000,29.490000,30.040001,26.830250,1817200
2021-01-22,29.450001,29.750000,26.620001,27.809999,24.838524,2151600
2021-01-29,28.080000,28.200001,26.410000,27.690001,24.731346,1738100
2021-02-05,28.000000,29.160000,27.670000,27.799999,24.829592,1728600
2021-02-12,27.559999,30.129999,27.480000,29.100000,25.990686,1986400
2021-02-19,29.360001,33.549999,29.260000,32.139999,28.705864,2469800
2021-02-26,31.879999,37.840000,30.430000,32.669998,29.179235,4127600
2021-03-05,33.169998,37.980000,31.500000,36.529999,32.626801,4477400
2021-03-12,36.189999,37.400002,35.119999,36.270000,32.394581,3718300
2021-03-19,36.439999,38.500000,34.490002,36.020000,32.171291,3835000
2021-03-26,36.799999,40.549999,36.500000,39.070000,34.895401,3919800
2021-04-02,40.160000,40.549999,38.520000,38.919998,34.761429,2000200
2021-04-09,39.209999,40.169998,37.939999,38.480000,34.368443,3402600
2021-04-16,38.939999,40.259998,38.169998,38.740002,34.600662,4446200
2021-04-23,39.189999,41.980000,38.849998,40.320000,36.011841,5232200
2021-04-30,40.049999,40.560001,36.680000,38.240002,34.154083,7423900
2021-05-07,38.509998,41.630001,38.060001,39.630001,37.343948,6294100
2021-05-14,39.389999,41.270000,37.009998,38.669998,36.439320,4587000
2021-05-21,39.099998,39.560001,36.330002,36.959999,34.827965,4950000
2021-05-28,36.950001,37.990002,35.680000,37.250000,35.101234,2633000
2021-06-04,37.419998,37.919998,35.340000,37.330002,35.176620,2462200
2021-06-11,38.669998,39.599998,32.459999,32.740002,30.851395,5086500
2021-06-18,32.689999,36.240002,32.509998,36.020000,33.942188,3844600
2021-06-25,36.500000,39.240002,36.119999,38.820000,36.580669,3357800
2021-07-02,38.889999,41.400002,38.099998,40.680000,38.333374,4422100
2021-07-09,41.299999,44.540001,41.009998,44.400002,41.838791,4290200
2021-07-16,44.430000,45.150002,41.070000,44.790001,42.206291,3774500
2021-07-23,45.520000,49.950001,44.790001,49.430000,46.578632,5241500
2021-07-30,49.200001,51.980000,47.680000,50.599998,47.681141,5188500
2021-08-06,51.320000,56.860001,51.000000,55.820000,52.600025,4294000
2021-08-13,56.150002,56.349998,50.900002,51.709999,48.727112,5960600
2021-08-20,52.080002,55.680000,51.139999,54.709999,51.554054,2957600
2021-08-27,55.029999,56.740002,52.360001,54.049999,50.932125,3324300
2021-09-03,54.200001,54.740002,52.570000,53.000000,49.942699,2271200
2021-09-10,53.500000,54.330002,51.169998,51.639999,48.661152,3324900
2021-09-17,51.209999,51.310001,43.169998,43.820000,41.292244,5676100
2021-09-24,43.599998,44.400002,42.160000,42.299999,39.859924,2614700
2021-10-01,42.299999,43.410000,40.639999,42.419998,39.973003,3326200
2021-10-08,42.910000,44.270000,42.060001,43.970001,41.433594,2353100
2021-10-15,44.400002,45.630001,42.869999,43.560001,41.047245,2671700
2021-10-22,43.689999,46.540001,43.680000,44.630001,42.055523,2834300
2021-10-29,44.779999,47.389999,37.310001,38.830002,36.590096,9182000
2021-11-05,38.799999,42.490002,37.580002,41.980000,39.558384,5355100
2021-11-12,41.330002,41.759998,38.639999,38.650002,36.420479,3269300
2021-11-19,38.320000,39.950001,37.509998,38.400002,36.887859,2942400
2021-11-26,37.020000,40.400002,35.950001,40.130001,38.549732,4589100
2021-12-03,40.150002,43.560001,39.689999,42.590000,40.912861,3173200
2021-12-10,43.230000,44.799999,41.080002,43.310001,41.604511,2682100
2021-12-17,42.980000,43.180000,40.419998,42.610001,40.932076,1991400
2021-12-24,42.549999,43.810001,41.860001,42.919998,41.229866,1055300
2021-12-31,42.799999,48.959999,42.549999,48.299999,46.398006,5448900
2022-01-07,48.290001,48.680000,44.700001,46.910000,45.062744,3027600
2022-01-14,46.470001,47.689999,44.939999,45.639999,43.842754,1956600
2022-01-21,44.910000,45.080002,39.529999,40.950001,39.337444,3685500
2022-01-28,41.259998,42.299999,39.709999,40.150002,38.568947,7158700
2022-02-04,40.090000,45.080002,40.090000,44.459999,42.709221,2556800
2022-02-11,43.730000,44.820000,36.220001,36.750000,35.302834,6908000
2022-02-18,36.599998,37.630001,34.959999,37.099998,35.639050,4750100
2022-02-25,37.470001,42.529999,37.400002,42.290001,40.624676,5923100
2022-03-04,42.020000,42.230000,37.330002,40.400002,38.809101,2768500
2022-03-11,40.919998,42.980000,38.380001,42.369999,40.701523,2431600
2022-03-18,42.049999,46.189999,41.430000,45.959999,44.150154,2501300
2022-03-25,45.869999,47.009998,43.810001,45.650002,43.852364,1918100
2022-04-01,46.110001,48.259998,45.560001,47.970001,46.081005,2277900
2022-04-08,47.830002,50.360001,47.650002,48.450001,46.542103,2358800
2022-04-15,48.689999,50.110001,45.810001,46.090000,44.275036,2022200
2022-04-22,46.130001,46.590000,39.919998,44.070000,42.334579,2844400
2022-04-29,44.150002,44.990002,42.570000,42.900002,41.210655,600500
