Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,63.389999,67.000000,62.139999,66.699997,66.699997,462500
2021-01-08,67.000000,67.389999,63.060001,64.860001,64.860001,697700
2021-01-15,62.680000,62.680000,61.080002,61.500000,61.500000,535500
2021-01-22,59.259998,60.369999,54.400002,55.820000,55.820000,1226300
2021-01-29,55.529999,59.750000,54.560001,59.750000,59.750000,861200
2021-02-05,59.090000,61.770000,58.669998,61.230000,61.230000,545500
2021-02-12,61.250000,62.139999,59.340000,59.790001,59.790001,452300
2021-02-19,60.110001,63.730000,59.990002,61.779999,61.779999,690100
2021-02-26,62.480000,69.309998,60.990002,66.839996,66.839996,1143100
2021-03-05,69.699997,70.580002,63.009998,67.180000,67.180000,2217700
2021-03-12,66.339996,67.900002,64.839996,64.989998,64.989998,980000
2021-03-19,64.180000,69.110001,63.150002,67.860001,67.860001,1219900
2021-03-26,69.820000,72.680000,69.809998,71.580002,71.580002,938000
2021-04-02,73.610001,75.559998,73.349998,73.650002,73.650002,705300
2021-04-09,73.320000,77.199997,72.510002,76.830002,76.830002,632000
2021-04-16,77.199997,79.480003,76.459999,77.870003,77.870003,579100
2021-04-23,79.279999,85.000000,79.160004,83.889999,83.889999,683900
2021-04-30,82.400002,88.489998,81.309998,88.400002,88.400002,723400
2021-05-07,89.290001,92.190002,84.879997,86.110001,86.110001,1137900
2021-05-14,85.320000,85.970001,79.769997,80.680000,80.680000,1359800
2021-05-21,80.610001,81.680000,77.800003,80.589996,80.589996,917500
2021-05-28,80.180000,81.650002,76.779999,77.839996,77.839996,1012400
2021-06-04,78.500000,78.570000,74.099998,75.559998,75.559998,817900
2021-06-11,78.239998,78.459999,73.129997,73.730003,73.730003,932100
2021-06-18,73.980003,78.360001,73.089996,77.860001,77.860001,1251600
2021-06-25,78.500000,78.790001,75.849998,76.459999,76.459999,767600
2021-07-02,76.209999,76.570000,71.860001,72.309998,72.309998,771900
2021-07-09,73.739998,76.089996,73.440002,75.239998,75.239998,608200
2021-07-16,74.620003,75.349998,70.879997,74.160004,74.160004,687200
2021-07-23,76.230003,79.989998,75.690002,79.750000,79.750000,797900
2021-07-30,79.750000,80.019997,73.750000,75.349998,75.349998,977200
2021-08-06,75.300003,75.949997,72.070000,72.589996,72.589996,892400
2021-08-13,71.959999,72.040001,65.860001,66.330002,66.330002,1040600
2021-08-20,65.800003,69.610001,65.300003,67.919998,67.919998,722100
2021-08-27,67.199997,74.400002,67.199997,73.809998,73.809998,966900
2021-09-03,74.580002,77.180000,74.360001,76.160004,76.160004,694800
2021-09-10,76.870003,79.870003,76.110001,76.400002,76.400002,850700
2021-09-17,76.139999,76.139999,71.680000,73.459999,73.459999,1058400
2021-09-24,72.879997,73.519997,68.900002,68.970001,68.970001,1002500
2021-10-01,68.610001,69.279999,65.949997,67.900002,67.900002,816300
2021-10-08,67.820000,69.919998,66.599998,69.489998,69.489998,885300
2021-10-15,69.779999,69.940002,64.879997,65.250000,65.250000,920300
2021-10-22,64.800003,67.290001,64.180000,64.529999,64.529999,781300
2021-10-29,63.639999,63.759998,62.049999,62.650002,62.650002,741800
2021-11-05,60.730000,61.430000,57.770000,60.040001,60.040001,1871200
2021-11-12,60.480000,60.950001,57.330002,57.750000,57.750000,1092000
2021-11-19,58.070000,60.590000,58.070000,58.779999,58.779999,884800
2021-11-26,56.480000,60.459999,54.439999,60.150002,60.150002,1329600
2021-12-03,60.020000,62.169998,59.090000,61.750000,61.750000,832400
2021-12-10,60.279999,61.290001,58.590000,60.180000,60.180000,931700
2021-12-17,60.750000,61.799999,58.419998,60.139999,60.139999,1004000
2021-12-24,59.549999,60.560001,57.990002,58.130001,58.130001,510400
2021-12-31,58.060001,63.549999,58.020000,62.349998,62.349998,1108000
2022-01-07,63.130001,65.110001,62.360001,63.950001,63.950001,952700
2022-01-14,63.000000,63.090000,58.770000,59.310001,59.310001,1100600
2022-01-21,59.189999,59.220001,54.200001,54.580002,54.580002,1234100
2022-01-28,54.980000,57.790001,54.320000,55.650002,55.650002,1671100
2022-02-04,55.650002,60.410000,55.200001,59.209999,59.209999,2002100
2022-02-11,60.200001,61.189999,58.169998,58.500000,58.500000,1271900
2022-02-18,58.500000,58.799999,56.000000,57.119999,57.119999,705400
2022-02-25,57.459999,60.259998,57.400002,60.029999,60.029999,1362500
2022-03-04,58.919998,59.340000,54.720001,57.380001,57.380001,1918200
2022-03-11,57.380001,59.630001,56.080002,59.490002,59.490002,1079300
2022-03-18,59.259998,62.669998,59.000000,62.340000,62.340000,817700
2022-03-25,61.840000,61.840000,59.060001,59.270000,59.270000,897700
2022-04-01,59.000000,60.619999,57.290001,57.779999,57.779999,899900
2022-04-08,57.930000,59.150002,57.709999,58.599998,58.599998,758400
2022-04-15,58.310001,60.500000,57.509998,58.540001,58.540001,752500
2022-04-22,59.000000,59.130001,54.650002,57.389999,57.389999,1250700
2022-04-29,57.500000,57.970001,56.650002,56.709999,56.709999,206100
